Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Zambia,,,,,,,,4077547,4184661,4851319,5505639
United Republic of Tanzania,1845917,4508,211,1278998,2150761,1986955,1551923,680442,4241364,5193520,5354486
Uganda,1045378,979298,1301337,1581160,231873,2662258,1502362,3631939,7137662,9385132,11667831
Nigeria,,143079,479845,551187,,,,7826954,6850782,9234387,11571958
Mozambique,141663,120259,93874,1522577,1756874,1813984,2998874,7117648,7718782,8520376,8921081
Malawi,,,,,304499,1564984,1280892,2905310,3661238,4827373,4901344
Ghana,476484,1094483,1104370,1071637,1041260,3755166,1639451,3415912,4319919,4535167,4348694
Democratic Republic of the Congo,740858,1618218,1878705,2417780,4561981,4791598,6715223,9968983,11627473,15330841,15176927
Burundi,1101644,876741,1185622,1763447,1571874,2151076,4141387,4585273,5159706,8274062,7670177
Burkina Faso,44246,36514,182527,804539,428113,3858046,3769051,5428655,7015446,9779154,10225459